coverage,set_size_mean,set_size_median,empty_rate,singleton_rate,top1_acc_non_empty,base_top1_acc,hir,level,alpha,run
1.0,54.0,54.0,0.0,0.0,0.720100978226569,0.720100978226569,,leaf,0.0,1
1.0,54.0,54.0,0.0,0.0,0.722309876932786,0.722309876932786,,leaf,0.0,2
1.0,54.0,54.0,0.0,0.0,0.726569895866203,0.726569895866203,,leaf,0.0,3
1.0,54.0,54.0,0.0,0.0,0.726727674345219,0.726727674345219,,leaf,0.0,4
1.0,54.0,54.0,0.0,0.0,0.7275165667402961,0.7275165667402961,,leaf,0.0,5
1.0,54.0,54.0,0.0,0.0,0.72215209845377,0.72215209845377,,leaf,0.0,6
1.0,54.0,54.0,0.0,0.0,0.7278321236983271,0.7278321236983271,,leaf,0.0,7
1.0,54.0,54.0,0.0,0.0,0.717892079520353,0.717892079520353,,leaf,0.0,8
1.0,54.0,54.0,0.0,0.0,0.7212054275796781,0.7212054275796781,,leaf,0.0,9
1.0,54.0,54.0,0.0,0.0,0.7230987693278631,0.7230987693278631,,leaf,0.0,10
1.0,54.0,54.0,0.0,0.0,0.72215209845377,0.72215209845377,,leaf,0.0,11
1.0,54.0,54.0,0.0,0.0,0.726254338908172,0.726254338908172,,leaf,0.0,12
1.0,54.0,54.0,0.0,0.0,0.72877879457242,0.72877879457242,,leaf,0.0,13
1.0,54.0,54.0,0.0,0.0,0.722467655411801,0.722467655411801,,leaf,0.0,14
1.0,54.0,54.0,0.0,0.0,0.7232565478068791,0.7232565478068791,,leaf,0.0,15
1.0,54.0,54.0,0.0,0.0,0.727989902177343,0.727989902177343,,leaf,0.0,16
1.0,54.0,54.0,0.0,0.0,0.72215209845377,0.72215209845377,,leaf,0.0,17
1.0,54.0,54.0,0.0,0.0,0.7253076680340801,0.7253076680340801,,leaf,0.0,18
1.0,54.0,54.0,0.0,0.0,0.7194698643105081,0.7194698643105081,,leaf,0.0,19
1.0,54.0,54.0,0.0,0.0,0.724203218680971,0.724203218680971,,leaf,0.0,20
1.0,54.0,54.0,0.0,0.0,0.7257810034711261,0.7257810034711261,,leaf,0.0,21
1.0,54.0,54.0,0.0,0.0,0.716787630167245,0.716787630167245,,leaf,0.0,22
1.0,54.0,54.0,0.0,0.0,0.7175765225623221,0.7175765225623221,,leaf,0.0,23
1.0,54.0,54.0,0.0,0.0,0.7216787630167241,0.7216787630167241,,leaf,0.0,24
1.0,54.0,54.0,0.0,0.0,0.7272010097822651,0.7272010097822651,,leaf,0.0,25
1.0,54.0,54.0,0.0,0.0,0.722783212369832,0.722783212369832,,leaf,0.0,26
1.0,54.0,54.0,0.0,0.0,0.726727674345219,0.726727674345219,,leaf,0.0,27
1.0,54.0,54.0,0.0,0.0,0.7193120858314921,0.7193120858314921,,leaf,0.0,28
1.0,54.0,54.0,0.0,0.0,0.718365414957399,0.718365414957399,,leaf,0.0,29
1.0,54.0,54.0,0.0,0.0,0.7197854212685391,0.7197854212685391,,leaf,0.0,30
1.0,54.0,54.0,0.0,0.0,0.720574313663616,0.720574313663616,,leaf,0.0,31
1.0,54.0,54.0,0.0,0.0,0.721994319974755,0.721994319974755,,leaf,0.0,32
1.0,54.0,54.0,0.0,0.0,0.718049857999368,0.718049857999368,,leaf,0.0,33
1.0,54.0,54.0,0.0,0.0,0.722467655411801,0.722467655411801,,leaf,0.0,34
1.0,54.0,54.0,0.0,0.0,0.7204165351846,0.7204165351846,,leaf,0.0,35
1.0,54.0,54.0,0.0,0.0,0.7295676869674971,0.7295676869674971,,leaf,0.0,36
1.0,54.0,54.0,0.0,0.0,0.7204165351846,0.7204165351846,,leaf,0.0,37
1.0,54.0,54.0,0.0,0.0,0.7234143262858941,0.7234143262858941,,leaf,0.0,38
1.0,54.0,54.0,0.0,0.0,0.720100978226569,0.720100978226569,,leaf,0.0,39
1.0,54.0,54.0,0.0,0.0,0.724045440201956,0.724045440201956,,leaf,0.0,40
1.0,54.0,54.0,0.0,0.0,0.724203218680971,0.724203218680971,,leaf,0.0,41
1.0,54.0,54.0,0.0,0.0,0.7256232249921111,0.7256232249921111,,leaf,0.0,42
1.0,54.0,54.0,0.0,0.0,0.7295676869674971,0.7295676869674971,,leaf,0.0,43
1.0,54.0,54.0,0.0,0.0,0.7177343010413381,0.7177343010413381,,leaf,0.0,44
1.0,54.0,54.0,0.0,0.0,0.722625433890817,0.722625433890817,,leaf,0.0,45
0.999368886083938,52.69611864941622,54.0,0.0,0.00015777847901500002,0.7234143262858941,0.7234143262858941,,leaf,0.0,46
1.0,54.0,54.0,0.0,0.0,0.717892079520353,0.717892079520353,,leaf,0.0,47
1.0,54.0,54.0,0.0,0.0,0.720258756705585,0.720258756705585,,leaf,0.0,48
1.0,54.0,54.0,0.0,0.0,0.7197854212685391,0.7197854212685391,,leaf,0.0,49
1.0,54.0,54.0,0.0,0.0,0.71868097191543,0.71868097191543,,leaf,0.0,50
