coverage,set_size_mean,set_size_median,empty_rate,singleton_rate,top1_acc_non_empty,base_top1_acc,hir,level,alpha,run
1.0,5.0,5.0,0.0,0.0,0.9261596718207631,0.9261596718207631,0.0,family,0.0,1
1.0,5.0,5.0,0.0,0.0,0.9236352161565161,0.9236352161565161,0.0,family,0.0,2
1.0,5.0,5.0,0.0,0.0,0.9264752287787941,0.9264752287787941,0.0,family,0.0,3
1.0,5.0,5.0,0.0,0.0,0.9299463553171341,0.9299463553171341,0.0,family,0.0,4
1.0,5.0,5.0,0.0,0.0,0.9277374566109181,0.9277374566109181,0.0,family,0.0,5
1.0,5.0,5.0,0.0,0.0,0.9234774376775001,0.9234774376775001,0.0,family,0.0,6
1.0,5.0,5.0,0.0,0.0,0.9286841274850111,0.9286841274850111,0.0,family,0.0,7
1.0,5.0,5.0,0.0,0.0,0.9266330072578101,0.9266330072578101,0.0,family,0.0,8
1.0,5.0,5.0,0.0,0.0,0.9258441148627321,0.9258441148627321,0.0,family,0.0,9
1.0,5.0,5.0,0.0,0.0,0.927106342694856,0.927106342694856,0.0,family,0.0,10
1.0,5.0,5.0,0.0,0.0,0.9226885452824231,0.9226885452824231,0.0,family,0.0,11
1.0,5.0,5.0,0.0,0.0,0.928841905964026,0.928841905964026,0.0,family,0.0,12
1.0,5.0,5.0,0.0,0.0,0.9275796781319021,0.9275796781319021,0.0,family,0.0,13
1.0,5.0,5.0,0.0,0.0,0.9260018933417481,0.9260018933417481,0.0,family,0.0,14
1.0,5.0,5.0,0.0,0.0,0.9285263490059951,0.9285263490059951,0.0,family,0.0,15
1.0,5.0,5.0,0.0,0.0,0.929157462922057,0.929157462922057,0.0,family,0.0,16
1.0,5.0,5.0,0.0,0.0,0.9266330072578101,0.9266330072578101,0.0,family,0.0,17
1.0,5.0,5.0,0.0,0.0,0.9285263490059951,0.9285263490059951,0.0,family,0.0,18
1.0,5.0,5.0,0.0,0.0,0.9234774376775001,0.9234774376775001,0.0,family,0.0,19
1.0,5.0,5.0,0.0,0.0,0.9245818870306091,0.9245818870306091,0.0,family,0.0,20
1.0,5.0,5.0,0.0,0.0,0.927106342694856,0.927106342694856,0.0,family,0.0,21
1.0,5.0,5.0,0.0,0.0,0.921268538971284,0.921268538971284,0.0,family,0.0,22
1.0,5.0,5.0,0.0,0.0,0.9239507731145471,0.9239507731145471,0.0,family,0.0,23
1.0,5.0,5.0,0.0,0.0,0.923161880719469,0.923161880719469,0.0,family,0.0,24
1.0,5.0,5.0,0.0,0.0,0.9286841274850111,0.9286841274850111,0.0,family,0.0,25
1.0,5.0,5.0,0.0,0.0,0.9245818870306091,0.9245818870306091,0.0,family,0.0,26
1.0,5.0,5.0,0.0,0.0,0.924897443988639,0.924897443988639,0.0,family,0.0,27
1.0,5.0,5.0,0.0,0.0,0.92521300094667,0.92521300094667,0.0,family,0.0,28
1.0,5.0,5.0,0.0,0.0,0.9255285579047011,0.9255285579047011,0.0,family,0.0,29
1.0,5.0,5.0,0.0,0.0,0.9239507731145471,0.9239507731145471,0.0,family,0.0,30
1.0,5.0,5.0,0.0,0.0,0.927264121173871,0.927264121173871,0.0,family,0.0,31
1.0,5.0,5.0,0.0,0.0,0.9237929946355311,0.9237929946355311,0.0,family,0.0,32
1.0,5.0,5.0,0.0,0.0,0.9260018933417481,0.9260018933417481,0.0,family,0.0,33
1.0,5.0,5.0,0.0,0.0,0.92694856421584,0.92694856421584,0.0,family,0.0,34
1.0,5.0,5.0,0.0,0.0,0.9234774376775001,0.9234774376775001,0.0,family,0.0,35
1.0,5.0,5.0,0.0,0.0,0.9266330072578101,0.9266330072578101,0.0,family,0.0,36
1.0,5.0,5.0,0.0,0.0,0.9220574313663611,0.9220574313663611,0.0,family,0.0,37
1.0,5.0,5.0,0.0,0.0,0.9263174502997791,0.9263174502997791,0.0,family,0.0,38
1.0,5.0,5.0,0.0,0.0,0.923161880719469,0.923161880719469,0.0,family,0.0,39
1.0,5.0,5.0,0.0,0.0,0.9266330072578101,0.9266330072578101,0.0,family,0.0,40
1.0,5.0,5.0,0.0,0.0,0.9263174502997791,0.9263174502997791,0.0,family,0.0,41
1.0,5.0,5.0,0.0,0.0,0.9260018933417481,0.9260018933417481,0.0,family,0.0,42
1.0,5.0,5.0,0.0,0.0,0.9237929946355311,0.9237929946355311,0.0,family,0.0,43
1.0,5.0,5.0,0.0,0.0,0.9225307668034081,0.9225307668034081,0.0,family,0.0,44
1.0,5.0,5.0,0.0,0.0,0.9299463553171341,0.9299463553171341,0.0,family,0.0,45
0.9996844430419691,4.997633322814768,5.0,0.0,0.00015777847901500002,0.9244241085515931,0.9244241085515931,0.0,family,0.0,46
1.0,5.0,5.0,0.0,0.0,0.924897443988639,0.924897443988639,0.0,family,0.0,47
1.0,5.0,5.0,0.0,0.0,0.92694856421584,0.92694856421584,0.0,family,0.0,48
1.0,5.0,5.0,0.0,0.0,0.9239507731145471,0.9239507731145471,0.0,family,0.0,49
1.0,5.0,5.0,0.0,0.0,0.9245818870306091,0.9245818870306091,0.0,family,0.0,50
