metric,value
accuracy,0.838821205136648
precision_micro,0.838821205136648
precision_macro,0.7090048095189408
precision_weighted,0.8608373376407189
recall_micro,0.838821205136648
recall_macro,0.7625215296369283
recall_weighted,0.838821205136648
f1_micro,0.838821205136648
f1_macro,0.7274842116378558
f1_weighted,0.8463993464674686
