label,precision,recall,f1,support
maj:Android_10,0.45982142857142855,0.47465437788018433,0.4671201814058957,217
maj:Android_4,0.4583333333333333,0.6470588235294118,0.5365853658536586,17
maj:Android_5,0.6,0.6521739130434783,0.625,23
maj:Android_6,0.7130044843049327,0.7832512315270936,0.7464788732394366,203
maj:Android_7,0.5752212389380531,0.5327868852459017,0.5531914893617021,122
maj:Android_8,0.2857142857142857,0.3418803418803419,0.311284046692607,117
maj:Android_9,0.4421768707482993,0.49808429118773945,0.46846846846846846,261
maj:Android_OTHER,1.0,1.0,1.0,26
maj:Linux_OTHER,0.6387096774193548,0.6827586206896552,0.66,145
maj:Linux_Ubuntu,0.7659574468085106,0.782608695652174,0.7741935483870968,46
maj:Windows_10,0.990506329113924,0.9236444116562155,0.9559076159572437,2711
maj:Windows_7,0.8654173764906303,0.7720364741641338,0.8160642570281125,658
maj:Windows_8,0.41139240506329117,0.8783783783783784,0.5603448275862069,148
maj:Windows_Vista,0.9047619047619048,0.9047619047619048,0.9047619047619048,21
maj:Windows_XP,0.6341463414634146,0.4727272727272727,0.5416666666666666,55
maj:iOS_10,0.9375,0.967741935483871,0.9523809523809523,31
maj:iOS_11,0.7272727272727273,0.8888888888888888,0.8,9
maj:iOS_12,1.0,0.9682539682539683,0.9838709677419355,63
maj:iOS_13,0.9386920980926431,0.9828815977175464,0.9602787456445993,701
maj:iOS_14,0.8888888888888888,1.0,0.9411764705882353,8
maj:macOS_10,0.9320175438596491,0.8709016393442623,0.9004237288135594,488
maj:macOS_OTHER,0.42857142857142855,0.75,0.5454545454545454,4
