coverage,set_size_mean,set_size_median,empty_rate,singleton_rate,top1_acc_non_empty,base_top1_acc,hir,level,alpha,run
0.5018957345971561,0.5083728278041071,1.0,0.491627172195892,0.5083728278041071,0.9872591671845861,0.8229067930489731,,major,0.5,1
0.50126382306477,0.506793048973143,1.0,0.493206951026856,0.506793048973143,0.9890897755610971,0.820537124802527,,major,0.5,2
0.5028436018957341,0.508530805687203,1.0,0.49146919431279606,0.508530805687203,0.9888164026095061,0.8232227488151651,,major,0.5,3
0.502369668246445,0.508530805687203,1.0,0.49146919431279606,0.508530805687203,0.9878844361602981,0.820379146919431,,major,0.5,4
0.510110584518167,0.515165876777251,1.0,0.48483412322274805,0.515165876777251,0.9901870591842991,0.8263823064770931,,major,0.5,5
0.49936808846761405,0.504739336492891,1.0,0.495260663507109,0.504739336492891,0.9893583724569641,0.822274881516587,,major,0.5,6
0.49873617693522904,0.504265402843601,1.0,0.49573459715639806,0.504265402843601,0.989035087719298,0.823380726698262,,major,0.5,7
0.47946287519747205,0.48546603475513406,0.0,0.514533965244865,0.48546603475513406,0.987634233647901,0.8120063191153231,,major,0.5,8
0.499052132701421,0.5041074249605051,1.0,0.495892575039494,0.5041074249605051,0.9899717956753361,0.8230647709320691,,major,0.5,9
0.5006319115323851,0.505845181674565,1.0,0.49415481832543406,0.505845181674565,0.9896939412866951,0.8262243285939961,,major,0.5,10
0.49936808846761405,0.5039494470774091,1.0,0.49605055292259004,0.5039494470774091,0.9909090909090911,0.821327014218009,,major,0.5,11
0.495260663507109,0.49984202211690304,0.0,0.500157977883096,0.49984202211690304,0.990834386852085,0.8227488151658761,,major,0.5,12
0.503317535545023,0.5083728278041071,1.0,0.491627172195892,0.5083728278041071,0.990055935363579,0.825750394944707,,major,0.5,13
0.500157977883096,0.505371248025276,1.0,0.49462875197472306,0.505371248025276,0.989684276336355,0.818167456556082,,major,0.5,14
0.480252764612954,0.48530805687203704,0.0,0.5146919431279621,0.48530805687203704,0.989583333333333,0.8175355450236961,,major,0.5,15
0.512006319115323,0.517535545023696,1.0,0.482464454976303,0.517535545023696,0.9893162393162391,0.822432859399684,,major,0.5,16
0.507898894154818,0.51390205371248,1.0,0.486097946287519,0.51390205371248,0.988318475253612,0.821642969984202,,major,0.5,17
0.504265402843601,0.509636650868878,1.0,0.49036334913112106,0.509636650868878,0.9894606323620581,0.8197472353870451,,major,0.5,18
0.504581358609794,0.5091627172195891,1.0,0.49083728278041006,0.5091627172195891,0.9910021718895431,0.818167456556082,,major,0.5,19
0.49684044233807206,0.502053712480252,1.0,0.49794628751974707,0.502053712480252,0.989616110761485,0.8175355450236961,,major,0.5,20
0.49541864139020503,0.5,0.5,0.5,0.5,0.9908372827804101,0.8219589257503951,,major,0.5,21
0.49541864139020503,0.49952606635071006,0.0,0.500473933649289,0.49952606635071006,0.9917773561037311,0.8211690363349131,,major,0.5,22
0.49873617693522904,0.5039494470774091,1.0,0.49605055292259004,0.5039494470774091,0.9896551724137931,0.821327014218009,,major,0.5,23
0.49620853080568705,0.501579778830963,1.0,0.49842022116903606,0.501579778830963,0.989291338582677,0.8167456556082141,,major,0.5,24
0.500947867298578,0.505371248025276,1.0,0.49462875197472306,0.505371248025276,0.99124726477024,0.823538704581358,,major,0.5,25
0.49778830963665005,0.503317535545023,1.0,0.49668246445497605,0.503317535545023,0.9890144381669801,0.8229067930489731,,major,0.5,26
0.499052132701421,0.505529225908372,1.0,0.49447077409162704,0.505529225908372,0.9871875,0.821327014218009,,major,0.5,27
0.501579778830963,0.5072669826224321,1.0,0.49273301737756703,0.5072669826224321,0.9887885393958261,0.818325434439178,,major,0.5,28
0.5018957345971561,0.507424960505529,1.0,0.49257503949447,0.507424960505529,0.989103362391033,0.8189573459715641,,major,0.5,29
0.504265402843601,0.5093206951026851,1.0,0.49067930489731404,0.5093206951026851,0.990074441687344,0.824802527646129,,major,0.5,30
0.507424960505529,0.513112164296998,1.0,0.48688783570300104,0.513112164296998,0.9889162561576351,0.8164296998420221,,major,0.5,31
0.48957345971563904,0.494786729857819,0.0,0.5052132701421801,0.494786729857819,0.9894636015325671,0.8200631911532381,,major,0.5,32
0.49605055292259004,0.500947867298578,1.0,0.499052132701421,0.500947867298578,0.9902239041311881,0.8184834123222741,,major,0.5,33
0.5086887835703,0.5135860979462871,1.0,0.48641390205371204,0.5135860979462871,0.9904644724700091,0.8221169036334911,,major,0.5,34
0.49399684044233805,0.49778830963665005,0.0,0.502211690363349,0.49778830963665005,0.9923833703586161,0.823538704581358,,major,0.5,35
0.503159557661927,0.508056872037914,1.0,0.49194312796208506,0.508056872037914,0.9903606965174131,0.821484992101105,,major,0.5,36
0.49763033175355403,0.502527646129541,1.0,0.497472353870458,0.502527646129541,0.9902546369066331,0.818167456556082,,major,0.5,37
0.49257503949447,0.49778830963665005,0.0,0.502211690363349,0.49778830963665005,0.9895271342430971,0.8186413902053711,,major,0.5,38
0.5037914691943121,0.5093206951026851,1.0,0.49067930489731404,0.5093206951026851,0.989143920595533,0.815955766192733,,major,0.5,39
0.49605055292259004,0.5006319115323851,1.0,0.49936808846761405,0.5006319115323851,0.9908488482171031,0.818009478672985,,major,0.5,40
0.49399684044233805,0.499684044233807,0.0,0.500315955766192,0.499684044233807,0.988618400252924,0.8189573459715641,,major,0.5,41
0.49763033175355403,0.502685624012638,1.0,0.49731437598736106,0.502685624012638,0.9899434318038961,0.821642969984202,,major,0.5,42
