coverage,set_size_mean,set_size_median,empty_rate,singleton_rate,top1_acc_non_empty,base_top1_acc,hir,level,alpha,run
0.9710900473933641,1.584518167456556,1.0,0.0,0.6453396524486571,0.8475513428120061,0.8475513428120061,,major,0.04,1
0.960347551342812,1.5366508688783571,1.0,0.0,0.6579778830963661,0.839652448657188,0.839652448657188,,major,0.04,2
0.9611374407582931,1.527962085308056,1.0,0.0,0.661769352290679,0.842969984202211,0.842969984202211,,major,0.04,3
0.9684044233807261,1.565718799368088,1.0,0.0,0.651974723538704,0.847235387045813,0.847235387045813,,major,0.04,4
0.9556082148499211,1.502843601895734,1.0,0.0,0.6755134281200631,0.8410742496050551,0.8410742496050551,,major,0.04,5
0.966982622432859,1.5650868878357032,1.0,0.0,0.652290679304897,0.845023696682464,0.845023696682464,,major,0.04,6
0.9620853080568721,1.5197472353870451,1.0,0.0,0.670300157977883,0.844233807266982,0.844233807266982,,major,0.04,7
0.95260663507109,1.4875197472353872,1.0,0.0,0.676145339652448,0.8413902053712481,0.8413902053712481,,major,0.04,8
0.959399684044233,1.517535545023696,1.0,0.0,0.6679304897314371,0.8459715639810421,0.8459715639810421,,major,0.04,9
0.960505529225908,1.523538704581358,1.0,0.0,0.6677725118483411,0.838546603475513,0.838546603475513,,major,0.04,10
0.9586097946287521,1.5165876777251182,1.0,0.0,0.6657187993680881,0.845339652448657,0.845339652448657,,major,0.04,11
0.957345971563981,1.518799368088467,1.0,0.0,0.666192733017377,0.840916271721958,0.840916271721958,,major,0.04,12
0.9606635071090041,1.532227488151658,1.0,0.0,0.660663507109004,0.8434439178515001,0.8434439178515001,,major,0.04,13
0.9617693522906791,1.534913112164297,1.0,0.0,0.662085308056872,0.845023696682464,0.845023696682464,,major,0.04,14
0.9609794628751971,1.526224328593997,1.0,0.0,0.665086887835703,0.842022116903633,0.842022116903633,,major,0.04,15
0.963823064770932,1.5363349131121642,1.0,0.0,0.6636650868878351,0.8437598736176931,0.8437598736176931,,major,0.04,16
0.960505529225908,1.519905213270142,1.0,0.0,0.6666666666666661,0.8464454976303311,0.8464454976303311,,major,0.04,17
0.9589257503949441,1.520379146919431,1.0,0.0,0.666034755134281,0.8406003159557661,0.8406003159557661,,major,0.04,18
0.9589257503949441,1.5197472353870451,1.0,0.0,0.664296998420221,0.8437598736176931,0.8437598736176931,,major,0.04,19
0.9559241706161131,1.510110584518167,1.0,0.0,0.671563981042654,0.8380726698262241,0.8380726698262241,,major,0.04,20
0.9606635071090041,1.531437598736177,1.0,0.0,0.6624012638230641,0.83996840442338,0.83996840442338,,major,0.04,21
0.9575039494470771,1.509004739336493,1.0,0.0,0.672669826224328,0.842022116903633,0.842022116903633,,major,0.04,22
0.958293838862559,1.5135860979462872,1.0,0.0,0.664928909952606,0.846287519747235,0.846287519747235,,major,0.04,23
0.9633491311216431,1.5339652448657182,1.0,0.0,0.6666666666666661,0.847393364928909,0.847393364928909,,major,0.04,24
0.9576619273301731,1.5,1.0,0.0,0.673775671406003,0.8421800947867291,0.8421800947867291,,major,0.04,25
0.9652448657187991,1.555134281200632,1.0,0.0,0.65434439178515,0.843917851500789,0.843917851500789,,major,0.04,26
0.9568720379146921,1.5197472353870451,1.0,0.0,0.667456556082148,0.84518167456556,0.84518167456556,,major,0.04,27
0.9641390205371241,1.549921011058451,1.0,0.0,0.653238546603475,0.839652448657188,0.839652448657188,,major,0.04,28
0.9630331753554501,1.532069510268562,1.0,0.0,0.6666666666666661,0.8470774091627171,0.8470774091627171,,major,0.04,29
0.960347551342812,1.527014218009478,1.0,0.0,0.662875197472353,0.8454976303317531,0.8454976303317531,,major,0.04,30
0.952922590837282,1.4821484992101102,1.0,0.0,0.683570300157977,0.8424960505529221,0.8424960505529221,,major,0.04,31
0.9559241706161131,1.50347551342812,1.0,0.0,0.672511848341232,0.8436018957345971,0.8436018957345971,,major,0.04,32
0.9617693522906791,1.535229067930489,1.0,0.0,0.660663507109004,0.844075829383886,0.844075829383886,,major,0.04,33
0.9620853080568721,1.5423380726698261,1.0,0.0,0.6557661927330171,0.8391785150078981,0.8391785150078981,,major,0.04,34
0.965876777251184,1.541390205371248,1.0,0.0,0.661611374407582,0.848183254344391,0.848183254344391,,major,0.04,35
0.9628751974723531,1.5424960505529222,1.0,0.0,0.6612954186413901,0.843917851500789,0.843917851500789,,major,0.04,36
0.9589257503949441,1.516113744075829,1.0,0.0,0.668562401263823,0.8421800947867291,0.8421800947867291,,major,0.04,37
0.9586097946287521,1.50521327014218,1.0,0.0,0.6729857819905211,0.8448657187993681,0.8448657187993681,,major,0.04,38
0.9644549763033171,1.546761453396524,1.0,0.0,0.6601895734597151,0.8497630331753551,0.8497630331753551,,major,0.04,39
0.9608214849921011,1.5338072669826222,1.0,0.0,0.6600315955766191,0.838546603475513,0.838546603475513,,major,0.04,40
0.9601895734597151,1.5159557661927332,1.0,0.0,0.667298578199052,0.8426540284360191,0.8426540284360191,,major,0.04,41
0.9609794628751971,1.523696682464454,1.0,0.0,0.663191153238546,0.8412322274881511,0.8412322274881511,,major,0.04,42
0.9611374407582931,1.51390205371248,1.0,0.0,0.668562401263823,0.843917851500789,0.843917851500789,,major,0.04,43
0.95955766192733,1.516271721958925,1.0,0.0,0.6698262243285941,0.8406003159557661,0.8406003159557661,,major,0.04,44
0.9586097946287521,1.502843601895734,1.0,0.0,0.673933649289099,0.8454976303317531,0.8454976303317531,,major,0.04,45
0.9556082148499211,1.4968404423380721,1.0,0.0,0.6751974723538701,0.847393364928909,0.847393364928909,,major,0.04,46
0.9589257503949441,1.524170616113744,1.0,0.0,0.663981042654028,0.8413902053712481,0.8413902053712481,,major,0.04,47
0.9598736176935221,1.518167456556082,1.0,0.0,0.6677725118483411,0.846129541864139,0.846129541864139,,major,0.04,48
0.960347551342812,1.527488151658767,1.0,0.0,0.667456556082148,0.8448657187993681,0.8448657187993681,,major,0.04,49
0.9586097946287521,1.517851500789889,1.0,0.0,0.666192733017377,0.841864139020537,0.841864139020537,,major,0.04,50
