alpha,level,metric,mean,std
0.04,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.04,leaf,hir,,
0.05,family,coverage,0.9800189573459712,0.0021108848922301
0.05,family,set_size_mean,1.1953522906793046,0.0159693457459622
0.05,family,set_size_median,1.0,0.0
0.05,family,empty_rate,0.0,0.0
0.05,family,singleton_rate,0.8367835703001576,0.0145502991378324
0.05,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
0.05,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.05,family,hir,0.0,0.0
0.05,major,coverage,0.9581105845181672,0.0027822859143446
0.05,major,set_size_mean,1.6648025276461291,0.0214666356877453
0.05,major,set_size_median,1.0,0.0
0.05,major,empty_rate,0.0,0.0
0.05,major,singleton_rate,0.6335987361769349,0.0143548895033947
0.05,major,top1_acc_non_empty,0.8208120063191149,0.0029861512821388
0.05,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.05,major,hir,,
0.05,leaf,coverage,0.9498325434439177,0.0030453217801983
0.05,leaf,set_size_mean,2.163330173775671,0.0259687461284105
0.05,leaf,set_size_median,1.0,0.0
0.05,leaf,empty_rate,0.0,0.0
0.05,leaf,singleton_rate,0.5415703001579775,0.0040635432751799
0.05,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
0.05,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.05,leaf,hir,,
0.075,family,coverage,0.9694786729857816,0.0019849815777293
0.075,family,set_size_mean,1.1007361769352286,0.0086104740162843
0.075,family,set_size_median,1.0,0.0
0.075,family,empty_rate,0.0,0.0
0.075,family,singleton_rate,0.9078420221169032,0.0075441345225341
0.075,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
0.075,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.075,family,hir,0.0,0.0
0.075,major,coverage,0.9377251184834118,0.0035614988119303
0.075,major,set_size_mean,1.4388025276461291,0.0215034486684008
0.075,major,set_size_median,1.0,0.0
0.075,major,empty_rate,0.0,0.0
0.075,major,singleton_rate,0.7108025276461292,0.0075628885884364
0.075,major,top1_acc_non_empty,0.8208120063191149,0.0029861512821388
0.075,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.075,major,hir,,
0.075,leaf,coverage,0.9246729857819902,0.004118531636581
0.075,leaf,set_size_mean,1.7706540284360184,0.0324101647034866
0.075,leaf,set_size_median,1.0,0.0
0.075,leaf,empty_rate,0.0,0.0
0.075,leaf,singleton_rate,0.5787582938388622,0.0048406922156459
0.075,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
0.075,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.075,leaf,hir,,
0.1,family,coverage,0.9626224328593994,0.0020595323035973
0.1,family,set_size_mean,1.0628183254344388,0.0024643392388727
0.1,family,set_size_median,1.0,0.0
0.1,family,empty_rate,0.0009952606635065,0.0003411468394905
0.1,family,singleton_rate,0.9365592417061608,0.0020399243513686
0.1,family,top1_acc_non_empty,0.9437605162610916,0.0023137978880286
0.1,family,base_top1_acc,0.9429921011058447,0.00240603786588
