method,alpha,level,metric,mean,std
LwCP,0.04,family,set_size_median,1.0,0.0
LwCP,0.04,family,empty_rate,0.0004233807266979,0.0004886851073771
LwCP,0.04,family,singleton_rate,0.9896935229067928,0.0029726034359403
LwCP,0.04,family,top1_acc_non_empty,0.9556775395796612,0.0013229164009409
LwCP,0.04,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.04,family,hir,0.3346097946287515,0.0050884155201723
LwCP,0.04,major,coverage,0.9590142180094784,0.0032668939445823
LwCP,0.04,major,set_size_mean,1.519889415481832,0.0165457967936775
LwCP,0.04,major,set_size_median,1.0,0.0
LwCP,0.04,major,empty_rate,0.0,0.0
LwCP,0.04,major,singleton_rate,0.6668404423380722,0.0061830673407452
LwCP,0.04,major,top1_acc_non_empty,0.8430774091627168,0.0027613529109355
LwCP,0.04,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.04,major,hir,,
LwCP,0.04,leaf,coverage,0.960284360189573,0.0032886235046203
LwCP,0.04,leaf,set_size_mean,2.38172195892575,0.040622235381864
LwCP,0.04,leaf,set_size_median,1.0,0.0
LwCP,0.04,leaf,empty_rate,0.0,0.0
LwCP,0.04,leaf,singleton_rate,0.5291500789889412,0.0042763433787856
LwCP,0.04,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
LwCP,0.04,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.04,leaf,hir,,
LwCP,0.05,family,coverage,0.9501042654028432,0.0034611749823035
LwCP,0.05,family,set_size_mean,0.9861864139020534,0.0044547224888065
LwCP,0.05,family,set_size_median,1.0,0.0
LwCP,0.05,family,empty_rate,0.0138135860979457,0.0044547224888065
LwCP,0.05,family,singleton_rate,0.9861864139020534,0.0044547224888065
LwCP,0.05,family,top1_acc_non_empty,0.9634165660207245,0.0012098939640593
LwCP,0.05,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.05,family,hir,0.3037251184834119,0.0136793905915332
LwCP,0.05,major,coverage,0.948843601895734,0.003763246508073
LwCP,0.05,major,set_size_mean,1.4214407582938386,0.0176230305102665
LwCP,0.05,major,set_size_median,1.0,0.0
LwCP,0.05,major,empty_rate,0.0,0.0
LwCP,0.05,major,singleton_rate,0.7216366508688781,0.0098354142423925
LwCP,0.05,major,top1_acc_non_empty,0.8430774091627168,0.0027613529109355
LwCP,0.05,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.05,major,hir,,
LwCP,0.05,leaf,coverage,0.9498325434439177,0.0030453217801983
LwCP,0.05,leaf,set_size_mean,2.163330173775671,0.0259687461284105
LwCP,0.05,leaf,set_size_median,1.0,0.0
LwCP,0.05,leaf,empty_rate,0.0,0.0
LwCP,0.05,leaf,singleton_rate,0.5415703001579775,0.0040635432751799
LwCP,0.05,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
LwCP,0.05,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.05,leaf,hir,,
LwCP,0.075,family,coverage,0.9248372827804106,0.0046654993401746
LwCP,0.075,family,set_size_mean,0.945551342812006,0.0048616273655029
LwCP,0.075,family,set_size_median,1.0,0.0
LwCP,0.075,family,empty_rate,0.0544486571879931,0.0048616273655029
LwCP,0.075,family,singleton_rate,0.945551342812006,0.0048616273655029
LwCP,0.075,family,top1_acc_non_empty,0.978094226686128,0.0010973787416443
LwCP,0.075,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.075,family,hir,0.240887835703001,0.0091612546123179
LwCP,0.075,major,coverage,0.9235071090047392,0.0040987356658981
LwCP,0.075,major,set_size_mean,1.2667456556082144,0.011977150678918
LwCP,0.075,major,set_size_median,1.0,0.0
LwCP,0.075,major,empty_rate,7.266982622416e-05,7.95351396373966e-05
LwCP,0.075,major,singleton_rate,0.7934944707740912,0.0057906580974933
LwCP,0.075,major,top1_acc_non_empty,0.8430659990110465,0.002761870961206
LwCP,0.075,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.075,major,hir,,
LwCP,0.075,leaf,coverage,0.9246729857819902,0.004118531636581
LwCP,0.075,leaf,set_size_mean,1.7706540284360184,0.0324101647034866
LwCP,0.075,leaf,set_size_median,1.0,0.0
LwCP,0.075,leaf,empty_rate,0.0,0.0
LwCP,0.075,leaf,singleton_rate,0.5787582938388622,0.0048406922156459
LwCP,0.075,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
LwCP,0.075,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.075,leaf,hir,,
LwCP,0.1,family,coverage,0.8999936808846758,0.0048066662070243
LwCP,0.1,family,set_size_mean,0.9145244865718796,0.0051548031043539
LwCP,0.1,family,set_size_median,1.0,0.0
LwCP,0.1,family,empty_rate,0.0854755134281195,0.0051548031043539
LwCP,0.1,family,singleton_rate,0.9145244865718796,0.0051548031043539
LwCP,0.1,family,top1_acc_non_empty,0.9841132034787604,0.0010629230292506
LwCP,0.1,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.1,family,hir,0.2370142180094781,0.0031862447754105
LwCP,0.1,major,coverage,0.8987582938388623,0.0048425647295101
LwCP,0.1,major,set_size_mean,1.172375987361769,0.0103323248935278
LwCP,0.1,major,set_size_median,1.0,0.0
LwCP,0.1,major,empty_rate,0.0010426540284355,0.0010097881887247
LwCP,0.1,major,singleton_rate,0.8446698262243284,0.0057201155505514
LwCP,0.1,major,top1_acc_non_empty,0.8436784291980263,0.002512646530437
LwCP,0.1,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.1,major,hir,,
LwCP,0.1,leaf,coverage,0.8989162717219585,0.0048546450246891
LwCP,0.1,leaf,set_size_mean,1.5586919431279618,0.0116197107085079
LwCP,0.1,leaf,set_size_median,1.0,0.0
LwCP,0.1,leaf,empty_rate,0.0009952606635065,0.0003411468394905
LwCP,0.1,leaf,singleton_rate,0.630018957345971,0.0035391895931885
LwCP,0.1,leaf,top1_acc_non_empty,0.7238101932446809,0.0029967514149523
LwCP,0.1,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.1,leaf,hir,,
LwCP,0.15,family,coverage,0.8515039494470771,0.0061408496368093
LwCP,0.15,family,set_size_mean,0.8607393364928906,0.0063606687407342
LwCP,0.15,family,set_size_median,1.0,0.0
LwCP,0.15,family,empty_rate,0.1392606635071084,0.0063606687407342
LwCP,0.15,family,singleton_rate,0.8607393364928906,0.0063606687407342
LwCP,0.15,family,top1_acc_non_empty,0.9892720056456102,0.0008515408149023
LwCP,0.15,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.15,family,hir,0.2763191153238541,0.0059700856873219
LwCP,0.15,major,coverage,0.8482148499210106,0.0048658569704818
LwCP,0.15,major,set_size_mean,1.0011406003159555,0.0091118971808285
LwCP,0.15,major,set_size_median,1.0,0.0
LwCP,0.15,major,empty_rate,0.035494470774091,0.004270169369041
LwCP,0.15,major,singleton_rate,0.9278704581358604,0.0026227960241247
LwCP,0.15,major,top1_acc_non_empty,0.8639756494950366,0.0017382537531769
LwCP,0.15,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.15,major,hir,,
LwCP,0.15,leaf,coverage,0.8494913112164294,0.0061383235709627
LwCP,0.15,leaf,set_size_mean,1.3255639810426536,0.0102812121845442
LwCP,0.15,leaf,set_size_median,1.0,0.0
LwCP,0.15,leaf,empty_rate,0.0107551342812,0.0019559907166735
LwCP,0.15,leaf,singleton_rate,0.7099399684044231,0.0044416325805313
LwCP,0.15,leaf,top1_acc_non_empty,0.7296241444877842,0.0024829338096181
LwCP,0.15,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.15,leaf,hir,,
LwCP,0.2,family,coverage,0.7993902053712475,0.0058690526824946
LwCP,0.2,family,set_size_mean,0.8046192733017372,0.006015581313263
LwCP,0.2,family,set_size_median,1.0,0.0
LwCP,0.2,family,empty_rate,0.1953807266982617,0.006015581313263
LwCP,0.2,family,singleton_rate,0.8046192733017372,0.006015581313263
LwCP,0.2,family,top1_acc_non_empty,0.993502391742735,0.0006957064772535
LwCP,0.2,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.2,family,hir,0.3355039494470769,0.0054356096408406
LwCP,0.2,major,coverage,0.7980853080568715,0.005706661609078
LwCP,0.2,major,set_size_mean,0.8699778830963661,0.0079748075369813
LwCP,0.2,major,set_size_median,1.0,0.0
LwCP,0.2,major,empty_rate,0.130022116903633,0.0079748075369814
LwCP,0.2,major,singleton_rate,0.8699778830963661,0.0079748075369813
LwCP,0.2,major,top1_acc_non_empty,0.9173817336499804,0.0028136151470798
LwCP,0.2,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.2,major,hir,,
LwCP,0.2,leaf,coverage,0.7986161137440755,0.0074048385629156
LwCP,0.2,leaf,set_size_mean,1.1860505529225904,0.0166543198324734
LwCP,0.2,leaf,set_size_median,1.0,0.0
LwCP,0.2,leaf,empty_rate,0.0246508688783566,0.0039312810443659
LwCP,0.2,leaf,singleton_rate,0.76972195892575,0.0089185853034389
LwCP,0.2,leaf,top1_acc_non_empty,0.7364129395580455,0.0024054130695755
LwCP,0.2,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.2,leaf,hir,,
LwCP,0.25,family,coverage,0.7502211690363346,0.0057262285339314
LwCP,0.25,family,set_size_mean,0.7532164296998416,0.0057990360627253
LwCP,0.25,family,set_size_median,1.0,0.0
LwCP,0.25,family,empty_rate,0.2467835703001574,0.0057990360627253
LwCP,0.25,family,singleton_rate,0.7532164296998416,0.0057990360627253
LwCP,0.25,family,top1_acc_non_empty,0.99602411246951,0.0007075435446413
LwCP,0.25,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.25,family,hir,0.3718483412322271,0.0047925567134944
LwCP,0.25,major,coverage,0.7480821484992096,0.0061410379094596
LwCP,0.25,major,set_size_mean,0.7869067930489727,0.0080900643634615
LwCP,0.25,major,set_size_median,1.0,0.0
LwCP,0.25,major,empty_rate,0.2130932069510263,0.0080900643634614
LwCP,0.25,major,singleton_rate,0.7869067930489727,0.0080900643634615
LwCP,0.25,major,top1_acc_non_empty,0.9506837665321533,0.0028238362143521
LwCP,0.25,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.25,major,hir,,
LwCP,0.25,leaf,coverage,0.7479431279620848,0.0051238659205135
LwCP,0.25,leaf,set_size_mean,1.0112701421800945,0.0121012485269812
LwCP,0.25,leaf,set_size_median,1.0,0.0
LwCP,0.25,leaf,empty_rate,0.0869984202211685,0.0068241497314822
LwCP,0.25,leaf,singleton_rate,0.8148625592417059,0.0042088266710063
LwCP,0.25,leaf,top1_acc_non_empty,0.7754635534414391,0.0031319702834554
LwCP,0.25,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.25,leaf,hir,,
LwCP,0.3,family,coverage,0.7002369668246442,0.0056935811252581
LwCP,0.3,family,set_size_mean,0.7023886255924167,0.0057015720173625
LwCP,0.3,family,set_size_median,1.0,0.0
LwCP,0.3,family,empty_rate,0.2976113744075824,0.0057015720173625
LwCP,0.3,family,singleton_rate,0.7023886255924167,0.0057015720173625
LwCP,0.3,family,top1_acc_non_empty,0.9969367427928302,0.0006417610437988
LwCP,0.3,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.3,family,hir,0.3714123222748811,0.0049447649080404
LwCP,0.3,major,coverage,0.6999241706161133,0.0078498162599299
LwCP,0.3,major,set_size_mean,0.7188404423380724,0.0084323104980347
LwCP,0.3,major,set_size_median,1.0,0.0
LwCP,0.3,major,empty_rate,0.2811595576619268,0.0084323104980347
LwCP,0.3,major,singleton_rate,0.7188404423380724,0.0084323104980347
LwCP,0.3,major,top1_acc_non_empty,0.9736924321127632,0.0018406189631368
LwCP,0.3,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.3,major,hir,,
LwCP,0.3,leaf,coverage,0.6973175355450233,0.0059466844983481
LwCP,0.3,leaf,set_size_mean,0.8453428120063187,0.0079998379560481
LwCP,0.3,leaf,set_size_median,1.0,0.0
LwCP,0.3,leaf,empty_rate,0.1790932069510264,0.0050749619350547
LwCP,0.3,leaf,singleton_rate,0.7964707740916269,0.0030590803730385
LwCP,0.3,leaf,top1_acc_non_empty,0.836517080775281,0.0026730240189115
LwCP,0.3,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.3,leaf,hir,,
LwCP,0.35,family,coverage,0.6511816745655605,0.0056675111229507
LwCP,0.35,family,set_size_mean,0.6526287519747231,0.0057833812711938
LwCP,0.35,family,set_size_median,1.0,0.0
LwCP,0.35,family,empty_rate,0.347371248025276,0.0057833812711938
LwCP,0.35,family,singleton_rate,0.6526287519747231,0.0057833812711938
LwCP,0.35,family,top1_acc_non_empty,0.9977842098305614,0.000586530622016
LwCP,0.35,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.35,family,hir,0.2851785150078985,0.0075791552448326
LwCP,0.35,major,coverage,0.6500726698262238,0.0110398731180898
LwCP,0.35,major,set_size_mean,0.6627962085308053,0.0122312210516807
LwCP,0.35,major,set_size_median,1.0,0.0
LwCP,0.35,major,empty_rate,0.3372037914691939,0.0122312210516806
LwCP,0.35,major,singleton_rate,0.6627962085308053,0.0122312210516807
LwCP,0.35,major,top1_acc_non_empty,0.9808303312239152,0.0020711163819204
LwCP,0.35,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.35,major,hir,,
LwCP,0.35,leaf,coverage,0.6471437598736174,0.0050269105682239
LwCP,0.35,leaf,set_size_mean,0.7335197472353867,0.0060011815387392
LwCP,0.35,leaf,set_size_median,1.0,0.0
LwCP,0.35,leaf,empty_rate,0.2664802527646124,0.0060011815387391
LwCP,0.35,leaf,singleton_rate,0.7335197472353867,0.0060011815387392
LwCP,0.35,leaf,top1_acc_non_empty,0.8822504033490202,0.002348395228849
LwCP,0.35,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.35,leaf,hir,,
LwCP,0.4,family,coverage,0.6005813586097942,0.0066307279635181
LwCP,0.4,family,set_size_mean,0.6012511848341229,0.0066374380332268
LwCP,0.4,family,set_size_median,1.0,0.0
LwCP,0.4,family,empty_rate,0.3987488151658762,0.0066374380332268
LwCP,0.4,family,singleton_rate,0.6012511848341229,0.0066374380332268
LwCP,0.4,family,top1_acc_non_empty,0.9988860036768336,0.0004479991450253
LwCP,0.4,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.4,family,hir,0.2418199052132697,0.0034853241057132
LwCP,0.4,major,coverage,0.5982685624012634,0.0066058337309888
LwCP,0.4,major,set_size_mean,0.6049099526066347,0.0068891163258234
LwCP,0.4,major,set_size_median,1.0,0.0
LwCP,0.4,major,empty_rate,0.3950900473933644,0.0068891163258234
LwCP,0.4,major,singleton_rate,0.6049099526066347,0.0068891163258234
LwCP,0.4,major,top1_acc_non_empty,0.9890255807473056,0.0013850279992192
LwCP,0.4,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.4,major,hir,,
LwCP,0.4,leaf,coverage,0.5973712480252761,0.0059177736792544
LwCP,0.4,leaf,set_size_mean,0.6347109004739333,0.0081713989715116
LwCP,0.4,leaf,set_size_median,1.0,0.0
LwCP,0.4,leaf,empty_rate,0.3652890995260659,0.0081713989715115
LwCP,0.4,leaf,singleton_rate,0.6347109004739333,0.0081713989715116
