alpha,level,metric,mean,std
0.25,major,empty_rate,0.21042654028436,
0.25,major,singleton_rate,0.7895734597156391,
0.25,major,top1_acc_non_empty,0.9535814325730292,
0.25,major,base_top1_acc,0.8475513428120061,
0.25,major,hir,,
0.25,leaf,coverage,0.760189573459715,
0.25,leaf,set_size_mean,1.031595576619273,
0.25,leaf,set_size_median,1.0,
0.25,leaf,empty_rate,0.07867298578199,
0.25,leaf,singleton_rate,0.8110584518167451,
0.25,leaf,top1_acc_non_empty,0.776234567901234,
0.25,leaf,base_top1_acc,0.72780410742496,
0.25,leaf,hir,,
